Name,ExternalId,Test Type,Date,Time,BW [KG],Reps,Tags,Additional Load [lb],Jump Height (Imp-Mom) in Inches [in] ,RSI-modified (Imp-Mom) [m/s] ,Eccentric Peak Force [N] ,Eccentric Peak Power / BM [W/kg] ,Eccentric Duration [ms] ,Concentric Peak Force [N] ,Concentric Peak Force / BM [N/kg] ,Concentric Duration [ms] 
20,,CMJ,02/15/2024,3:21 PM,82.49,3,,0,15.4,0.53,1932,20.4,477,1945,23.6,263
21,,CMJ,02/15/2024,3:20 PM,58.12,3,,0,11.4,0.51,1480,20.5,353,1472,25.3,214
22,,CMJ,02/15/2024,3:20 PM,86.65,3,,0,17.0,0.52,2295,26.0,549,2285,26.4,282
4,,CMJ,02/15/2024,3:19 PM,62.62,3,,0,14.4,0.41,1443,13.3,621,1454,23.2,282
17,,CMJ,02/15/2024,3:18 PM,66.83,3,,0,11.9,0.35,1487,23.9,530,1477,22.1,341
23,,CMJ,02/15/2024,3:17 PM,78.75,3,,0,18.3,0.65,2190,27.1,458,2177,27.6,259
19,,CMJ,02/15/2024,3:16 PM,78.76,3,,0,15.3,0.5,1946,32.2,474,1885,23.9,306
9,,CMJ,02/15/2024,3:15 PM,65.14,3,,0,9.5,0.23,1217,11.7,701,1221,18.7,372
16,,CMJ,02/15/2024,3:14 PM,88.16,3,,0,19.8,0.7,2488,29.9,465,2478,28.1,254
5,,CMJ,02/15/2024,3:12 PM,78.86,3,,0,14.4,0.49,1916,22.6,454,1912,24.2,288
6,,CMJ,02/15/2024,3:11 PM,59.03,3,,0,14.6,0.51,1548,31.1,449,1508,25.6,288
7,,CMJ,02/15/2024,3:11 PM,59.36,2,,0,9.8,0.33,1328,18.0,476,1323,22.3,288
1,,CMJ,02/15/2024,1:23 PM,74.29,2,,0,11.6,0.45,2052,28.1,402,1978,26.6,256
24,,CMJ,02/15/2024,1:21 PM,76.45,2,,0,10.7,0.35,1544,15.4,484,1576,20.6,306
13,,CMJ,02/15/2024,1:20 PM,62.57,2,,0,10.8,0.35,1377,22.0,460,1369,21.9,319
12,,CMJ,02/15/2024,1:19 PM,85.84,2,,0,18.3,0.64,2177,22.3,470,2182,25.4,257
10,,CMJ,02/15/2024,1:19 PM,56.84,2,,0,11.5,0.38,1207,22.8,431,1175,20.7,327
25,,CMJ,02/15/2024,1:18 PM,68.19,2,,0,14.5,0.48,1772,20.3,493,1768,25.9,273
14,,CMJ,02/15/2024,1:17 PM,61.35,2,,0,7.8,0.27,1223,11.9,458,1248,20.3,269
3,,CMJ,02/15/2024,1:17 PM,63.66,2,,0,14.1,0.51,1628,26.4,443,1612,25.3,259
26,,CMJ,02/15/2024,1:16 PM,75.89,2,,0,11.8,0.35,1781,23.4,508,1751,23.1,353
27,,CMJ,02/15/2024,1:16 PM,79.52,2,,0,6.4,0.22,1774,28.6,476,1686,21.2,272
28,,CMJ,02/15/2024,1:16 PM,62.49,2,,0,10.8,0.39,1634,28.4,414,1591,25.5,281
11,,CMJ,02/15/2024,1:14 PM,96.05,2,,0,18.4,0.62,2583,26.5,471,2509,26.1,282
29,,CMJ,02/15/2024,1:12 PM,92.29,2,,0,18.4,0.73,2596,26.6,411,2569,27.8,228
17,,CMJ,02/01/2024,3:19 PM,67.37,3,,0,11.3,0.33,1448,18.6,540,1441,21.4,333
2,,CMJ,02/01/2024,3:16 PM,68.08,3,,0,8.8,0.26,1360,15.9,521,1356,19.9,337
19,,CMJ,02/01/2024,3:14 PM,77.76,3,,0,14.9,0.52,1852,26.6,426,1825,23.5,299
30,,CMJ,02/01/2024,3:13 PM,85.35,3,,0,16.1,0.46,1998,15.8,597,2011,23.6,288
7,,CMJ,02/01/2024,3:13 PM,59.8,3,,0,9.7,0.35,1354,13.8,446,1369,22.9,250
9,,CMJ,02/01/2024,3:11 PM,65.09,3,,0,9.3,0.24,1191,10.4,653,1213,18.6,338
5,,CMJ,02/01/2024,3:11 PM,80.2,3,,0,13.5,0.48,1912,21.8,439,1918,23.9,274
16,,CMJ,02/01/2024,3:10 PM,88.69,3,,0,19.6,0.71,2498,27.8,466,2493,28.1,241
4,,CMJ,02/01/2024,3:09 PM,62.37,3,,0,13.2,0.37,1346,12.8,610,1364,21.9,285
6,,CMJ,02/01/2024,3:09 PM,57.96,3,,0,15.2,0.54,1551,31.5,436,1513,26.1,283
23,,CMJ,02/01/2024,3:08 PM,78.0,3,,0,17.6,0.62,2111,24.8,463,2097,26.9,261
18,,CMJ,02/01/2024,3:07 PM,90.23,3,,0,16.4,0.59,2142,26.6,429,2153,23.9,278
15,,CMJ,02/01/2024,3:06 PM,59.31,3,,0,14.5,0.54,1580,24.5,438,1573,26.5,245
31,,CMJ,02/01/2024,2:24 PM,49.76,3,,0,10.9,0.39,1141,17.3,447,1130,22.7,269
32,,CMJ,02/01/2024,1:30 PM,-1.0,3,,0,15.8,0.57,2217,22.3,460,2202,26.1,247
33,,CMJ,02/01/2024,1:28 PM,-1.0,3,,0,13.9,0.47,2211,22.7,479,2205,23.9,267
1,,CMJ,02/01/2024,1:28 PM,-1.0,3,,0,11.1,0.41,1993,25.7,436,1943,26.0,264
12,,CMJ,02/01/2024,1:26 PM,-1.0,3,,0,17.6,0.62,2179,21.8,470,2198,25.7,248
10,,CMJ,02/01/2024,1:26 PM,-1.0,3,,0,12.0,0.43,1236,26.3,410,1210,21.3,307
11,,CMJ,02/01/2024,1:24 PM,-1.0,3,,0,16.9,0.58,2529,26.5,468,2460,25.5,271
14,,CMJ,02/01/2024,1:23 PM,-1.0,3,,0,7.4,0.27,1240,13.9,425,1268,20.7,278
34,,CMJ,02/01/2024,1:21 PM,-1.0,3,,0,13.2,0.44,1546,15.6,490,1579,22.4,274
35,,CMJ,02/01/2024,1:21 PM,-1.0,3,,0,13.2,0.41,1688,17.9,547,1676,24.1,281
26,,CMJ,02/01/2024,1:20 PM,-1.0,3,,0,11.1,0.32,1638,23.5,512,1619,21.5,361
36,,CMJ,02/01/2024,1:20 PM,-1.0,3,,0,21.9,0.69,2413,29.7,512,2416,26.6,289
3,,CMJ,02/01/2024,1:19 PM,-1.0,3,,0,13.5,0.43,1546,23.2,516,1534,24.0,282
28,,CMJ,02/01/2024,1:18 PM,-1.0,3,,0,9.9,0.35,1533,22.9,413,1507,23.8,295
27,,CMJ,02/01/2024,1:18 PM,-1.0,3,,0,6.3,0.21,1654,26.5,496,1546,19.6,285
29,,CMJ,02/01/2024,1:17 PM,-1.0,3,,0,19.7,0.74,2579,22.8,438,2556,27.4,243
13,,CMJ,02/01/2024,1:17 PM,-1.0,3,,0,10.4,0.32,1323,18.7,499,1317,21.3,339
17,,CMJ,01/25/2024,3:22 PM,67.57,3,,0,11.0,0.34,1454,19.5,516,1448,21.4,308
19,,CMJ,01/25/2024,3:19 PM,77.2,3,,0,15.0,0.54,1906,33.5,429,1873,24.3,283
5,,CMJ,01/25/2024,3:19 PM,80.21,3,,0,12.9,0.44,1840,23.0,452,1822,22.7,301
